mahalle_name,pop_total,pop_15_34,year,source
100. Yıl Mahallesi,5273,,2025,TUIK ADNKS
50. Yıl Mahallesi,415,,2025,TUIK ADNKS
Ahlatlıbel Mahallesi,12742,,2025,TUIK ADNKS
Akarlar Mahallesi,92,,2025,TUIK ADNKS
Akpınar Mahallesi,12634,,2025,TUIK ADNKS
Alacaatlı Mahallesi,46632,,2025,TUIK ADNKS
Anıttepe Mahallesi,4688,,2025,TUIK ADNKS
Ata Mahallesi,11235,,2025,TUIK ADNKS
Aydınlar Mahallesi,5544,,2025,TUIK ADNKS
Ayrancı Mahallesi,15682,,2025,TUIK ADNKS
Aziziye Mahallesi,10625,,2025,TUIK ADNKS
Aşağı Öveçler Mahallesi,8229,,2025,TUIK ADNKS
Aşağı İmrahor Mahallesi,136,,2025,TUIK ADNKS
Aşıkpaşa Mahallesi,9017,,2025,TUIK ADNKS
Bademlidere Mahallesi,2568,,2025,TUIK ADNKS
Bahçelievler Mahallesi,10565,,2025,TUIK ADNKS
Balgat Mahallesi,3285,,2025,TUIK ADNKS
Barbaros Mahallesi,5151,,2025,TUIK ADNKS
Bayraktar Mahallesi,4436,,2025,TUIK ADNKS
Bağcılar Mahallesi,3716,,2025,TUIK ADNKS
Beytepe Mahallesi,20608,,2025,TUIK ADNKS
Birlik Mahallesi,30598,,2025,TUIK ADNKS
Boztepe Mahallesi,843,,2025,TUIK ADNKS
Büyükesat Mahallesi,8626,,2025,TUIK ADNKS
Cebeci Mahallesi,4375,,2025,TUIK ADNKS
Cevizlidere Mahallesi,12632,,2025,TUIK ADNKS
Cumhuriyet Mahallesi,295,,2025,TUIK ADNKS
Devlet Mahallesi,7928,,2025,TUIK ADNKS
Dilekler Mahallesi,292,,2025,TUIK ADNKS
Dodurga Mahallesi,13355,,2025,TUIK ADNKS
Doğuş Mahallesi,2465,,2025,TUIK ADNKS
Dumlupınar Mahallesi,10721,,2025,TUIK ADNKS
Ehlibeyt Mahallesi,2804,,2025,TUIK ADNKS
Emek Mahallesi,22420,,2025,TUIK ADNKS
Ertuğrulgazi Mahallesi,6181,,2025,TUIK ADNKS
Erzurum Mahallesi,2702,,2025,TUIK ADNKS
Esatoğlu Mahallesi,3174,,2025,TUIK ADNKS
Eti Mahallesi,2333,,2025,TUIK ADNKS
Evciler Mahallesi,144,,2025,TUIK ADNKS
Fakülteler Mahallesi,5365,,2025,TUIK ADNKS
Fidanlık Mahallesi,1395,,2025,TUIK ADNKS
Gaziosmanpaşa Mahallesi,3605,,2025,TUIK ADNKS
Gökkuşağı Mahallesi,8524,,2025,TUIK ADNKS
Göktürk Mahallesi,3689,,2025,TUIK ADNKS
Güvenevler Mahallesi,8528,,2025,TUIK ADNKS
Güzeltepe Mahallesi,5932,,2025,TUIK ADNKS
Harbiye Mahallesi,18766,,2025,TUIK ADNKS
Hilal Mahallesi,6721,,2025,TUIK ADNKS
Huzur Mahallesi,17039,,2025,TUIK ADNKS
Karahasanlı Mahallesi,277,,2025,TUIK ADNKS
Karapınar Mahallesi,9161,,2025,TUIK ADNKS
Karataş Mahallesi,682,,2025,TUIK ADNKS
Kavaklıdere Mahallesi,6203,,2025,TUIK ADNKS
Kazım Özalp Mahallesi,5104,,2025,TUIK ADNKS
Keklik Pınarı Mahallesi,14246,,2025,TUIK ADNKS
Kocatepe Mahallesi,670,,2025,TUIK ADNKS
Konutkent Mahallesi,9487,,2025,TUIK ADNKS
Korkutreis Mahallesi,1251,,2025,TUIK ADNKS
Koru Mahallesi,14010,,2025,TUIK ADNKS
Kömürcü Mahallesi,116,,2025,TUIK ADNKS
Kültür Mahallesi,4358,,2025,TUIK ADNKS
Küçükesat Mahallesi,2362,,2025,TUIK ADNKS
Kırkkonaklar Mahallesi,19146,,2025,TUIK ADNKS
Kızılay Mahallesi,1533,,2025,TUIK ADNKS
Kızılırmak Mahallesi,6304,,2025,TUIK ADNKS
Malazgirt Mahallesi,6273,,2025,TUIK ADNKS
Maltepe Mahallesi,8988,,2025,TUIK ADNKS
Mebusevleri Mahallesi,4312,,2025,TUIK ADNKS
Metin Akkuş Mahallesi,2772,,2025,TUIK ADNKS
Metin Oktay Mahallesi,5081,,2025,TUIK ADNKS
Meşrutiyet Mahallesi,726,,2025,TUIK ADNKS
Mimar Sinan Mahallesi,3347,,2025,TUIK ADNKS
Muhsin Ertuğrul Mahallesi,2868,,2025,TUIK ADNKS
Murat Mahallesi,3300,,2025,TUIK ADNKS
Mustafa Kemal Mahallesi,7557,,2025,TUIK ADNKS
Mutlukent Mahallesi,20458,,2025,TUIK ADNKS
Mürsel Uluç Mahallesi,17774,,2025,TUIK ADNKS
Naci Çakır Mahallesi,8602,,2025,TUIK ADNKS
Namık Kemal Mahallesi,57,,2025,TUIK ADNKS
Nasuh Akar Mahallesi,3683,,2025,TUIK ADNKS
Or-An Mahallesi,12122,,2025,TUIK ADNKS
Orta İmrahor Mahallesi,258,,2025,TUIK ADNKS
Osman Temiz Mahallesi,9194,,2025,TUIK ADNKS
Oğuzlar Mahallesi,7886,,2025,TUIK ADNKS
Prof. Dr. Ahmet Taner Kışlalı Mahallesi,18751,,2025,TUIK ADNKS
Remzi Oğuz Arık Mahallesi,4746,,2025,TUIK ADNKS
Sakarya Mahallesi,,,2025,TUIK ADNKS
